and	1.111e+4
a	7714
as	2789
are	1797
at	1597
an	1363
all	957.4
about	613.7
also	566.8
any	417.3
after	387.3
another	222.5
against	181.7
again	165.4
American	163.4
around	158.0
al	149.7
always	144.7
among	140.1
although	138.2
away	135.6
A.	124.7
am	119.4
asked	110.6
act	108.4
above	107.8
area	107.1
analysis	102.3
along	97.79
age	96.87
almost	96.76
able	96.15
action	95.72
already	93.90
available	87.34
air	83.92
approach	83.15
according	82.18
across	81.12
art	78.60
anything	72.91
account	71.48
areas	69.55
America	66.87
activity	65.94
activities	64.40
attention	63.61
associated	63.07
amount	61.42
access	61.37
addition	59.52
answer	58.98
application	58.91
ask	58.28
alone	57.57
actually	55.24
association	49.13
authority	49.11
average	48.95
appropriate	48.80
army	48.49
added	48.27
ability	47.94
appear	47.30
allow	45.45
author	44.72
address	44.03
applied	43.88
add	43.10
African	42.89
active	42.84
additional	42.65
appears	42.20
article	41.41
allowed	40.41
agreement	39.97
arms	39.05
administration	38.46
actions	38.45
appeared	37.48
April	37.43
ago	36.96
assessment	36.75
attempt	36.37
actual	35.77
anyone	35.57
Africa	35.04
avoid	34.49
argument	34.15
aspects	34.09
August	33.42
Americans	33.33
animals	32.50
ancient	32.24
apply	32.14
alternative	32.05
applications	31.65
attack	31.60
acts	29.69
animal	29.51
annual	29.16
aware	29.02
arrived	28.90
advantage	28.86
allows	28.80
anti	28.77
arm	28.75
agency	28.61
accepted	28.56
agent	28.54
agreed	28.11
accept	27.78
acid	26.72
academic	26.16
aid	25.85
affect	25.65
appearance	25.36
accounts	25.32
agents	25.13
audience	25.08
affairs	24.98
approaches	24.65
achieve	24.48
advanced	24.25
absence	24.16
affected	24.16
assume	23.44
argued	23.34
answered	22.92
adult	22.88
authors	22.73
apart	22.72
assistance	22.63
adopted	22.24
Asia	21.87
assumed	21.76
assets	21.63
apparently	21.61
aspect	21.28
achieved	21.24
attitude	20.94
ahead	20.83
advice	20.69
arts	20.52
agree	20.51
approximately	20.41
authorities	20.37
appeal	20.29
articles	20.21
abuse	19.94
attempts	19.50
assembly	19.43
adults	19.31
asking	19.09
agricultural	19.04
apparent	19.02
absolute	18.96
advance	18.73
answers	18.65
architecture	18.56
ad	18.48
afraid	18.45
afternoon	18.44
acting	18.01
agencies	17.96
Australia	17.90
arguments	17.88
Asian	17.55
administrative	17.50
awareness	17.26
anxiety	16.83
attitudes	16.58
accounting	16.58
argue	16.57
angle	16.53
aside	16.53
addressed	16.48
attached	16.43
alive	16.39
ages	16.36
assigned	16.30
anger	16.28
acquired	16.09
alcohol	15.95
aim	15.66
adequate	15.66
artist	15.60
adding	15.59
allowing	15.53
acute	15.44
appointed	15.32
agriculture	15.30
abstract	15.29
assumption	15.01
amounts	14.97
armed	14.82
accurate	14.75
Appendix	14.57
attacks	14.44
advertising	14.29
atmosphere	14.19
anyway	14.12
accompanied	14.02
artists	13.81
advantages	13.69
angry	13.62
attempted	13.57
Ann	13.47
algorithm	13.44
attorney	13.24
Alexander	13.18
acceptance	13.16
attributes	13.15
aids	13.09
absolutely	13.08
axis	13.07
admitted	13.04
actors	13.01
Academy	12.93
amendment	12.88
arrangements	12.79
arrival	12.66
assumptions	12.66
argues	12.56
arise	12.54
array	12.50
arrangement	12.43
announced	12.38
accident	12.10
attend	12.08
achievement	12.04
Arthur	11.98
apartment	11.90
acquisition	11.86
acceptable	11.76
approved	11.74
assess	11.72
assistant	11.68
accordingly	11.62
arranged	11.56
Adam	11.54
aircraft	11.46
attended	11.44
approval	11.39
applies	11.36
accuracy	11.34
admit	11.31
Arab	11.30
associations	11.29
assist	11.27
applying	11.20
automatically	11.05
applicable	11.05
attractive	11.04
Ah	11.01
Australian	10.99
Angeles	10.97
analyses	10.94
agenda	10.85
accomplished	10.85
abandoned	10.80
agreements	10.79
anywhere	10.71
aunt	10.69
approached	10.64
asset	10.62
asks	10.61
afterwards	10.52
alliance	10.50
accordance	10.48
award	10.45
Anne	10.29
abroad	10.28
Atlantic	10.27
altogether	10.23
attribute	10.21
assuming	10.21
Andrew	10.20
addresses	10.13
afford	10.10
accused	10.05
Allen	9.969
availability	9.846
adoption	9.766
adjustment	9.762
aged	9.732
aimed	9.716
arrive	9.715
adapted	9.680
Anderson	9.680
Avenue	9.581
adopt	9.564
artificial	9.522
appointment	9.494
autonomy	9.467
anxious	9.444
attributed	9.330
assignment	9.308
archives	9.042
absent	8.991
angel	8.929
acted	8.926
appreciate	8.911
aesthetic	8.837
artistic	8.835
amongst	8.790
aggressive	8.712
attachment	8.700
affects	8.662
alternatives	8.593
acids	8.579
automatic	8.569
assured	8.556
acknowledge	8.536
activation	8.531
attacked	8.515
acknowledged	8.513
absorption	8.507
adds	8.486
altered	8.473
Anna	8.458
avoided	8.433
advances	8.430
arrest	8.424
affair	8.400
Adams	8.379
actor	8.369
adjacent	8.296
adverse	8.292
accessible	8.274
acquire	8.236
aims	8.188
associate	8.128
attracted	8.098
abilities	8.058
admission	8.024
appeals	8.009
attempting	7.998
adjusted	7.927
anterior	7.918
artery	7.899
affecting	7.885
asleep	7.855
actively	7.829
Albert	7.822
alter	7.800
Abraham	7.794
analytical	7.717
alike	7.691
arrested	7.686
arc	7.653
allies	7.639
achieving	7.599
apple	7.569
atoms	7.553
arises	7.544
Alice	7.536
allocation	7.531
associates	7.469
airport	7.448
addressing	7.440
ate	7.413
alleged	7.376
arch	7.366
anybody	7.363
adaptation	7.363
a.m.	7.356
appreciation	7.344
aging	7.324
au	7.231
accomplish	7.218
approaching	7.207
Aristotle	7.165
accurately	7.157
atomic	7.138
angels	7.132
audio	7.130
arose	7.124
assault	7.078
Alan	7.056
Anthony	7.035
administered	6.975
arrow	6.965
à	6.962
aggregate	6.895
absorbed	6.880
arising	6.865
analyze	6.847
assessing	6.818
alongside	6.807
Anglo	6.762
affection	6.758
audit	6.735
authorized	6.735
alien	6.728
attract	6.677
analyzed	6.675
attending	6.655
anthropology	6.615
adjust	6.595
anymore	6.591
abnormal	6.580
advised	6.577
anticipated	6.573
accessed	6.558
amino	6.556
architectural	6.526
assisted	6.488
algorithms	6.485
arbitrary	6.476
accepting	6.412
assessed	6.396
assumes	6.376
autumn	6.356
accumulation	6.339
adolescents	6.332
allied	6.319
acres	6.311
adventure	6.299
adolescent	6.172
Alfred	6.148
avoiding	6.136
angles	6.120
alarm	6.087
audiences	6.055
ancestors	6.051
alert	5.999
Austria	5.983
ac	5.968
administrator	5.947
Alex	5.932
assembled	5.928
accountability	5.926
aggression	5.926
arguing	5.880
amazing	5.861
abundance	5.849
archaeological	5.831
Amsterdam	5.803
apparatus	5.795
Antonio	5.770
administrators	5.707
abortion	5.694
adaptive	5.689
Austin	5.686
assurance	5.672
Arnold	5.671
activated	5.656
authentic	5.650
advocate	5.643
autonomous	5.638
Additionally	5.616
attraction	5.589
assertion	5.569
accommodate	5.556
asserted	5.513
anonymous	5.504
appearing	5.492
artillery	5.452
assessments	5.438
awful	5.433
analogy	5.423
armies	5.419
awarded	5.387
Arizona	5.331
awake	5.258
abdominal	5.245
arrange	5.240
architect	5.210
arriving	5.201
abundant	5.199
auto	5.179
altar	5.177
accommodation	5.169
alpha	5.168
accounted	5.153
Arabic	5.150
accustomed	5.132
atom	5.125
answering	5.118
abandon	5.107
advocates	5.102
attendance	5.099
Athens	5.083
assure	5.070
arena	5.059
adequately	5.025
arbitration	5.024
ambassador	5.023
accompanying	5.017
assign	4.994
Ali	4.991
activists	4.988
Afghanistan	4.915
achievements	4.908
archaeology	4.898
anatomy	4.878
alignment	4.853
advisory	4.851
adapt	4.850
amended	4.794
alternatively	4.790
appreciated	4.784
anchor	4.782
attained	4.775
assert	4.766
awards	4.765
ass	4.760
annually	4.755
Admiral	4.753
amplitude	4.743
afterward	4.733
Aboriginal	4.721
accumulated	4.718
automobile	4.713
analyzing	4.693
ambition	4.688
aloud	4.656
approximation	4.636
albeit	4.612
Atlanta	4.588
accord	4.569
attain	4.557
admiration	4.551
appropriately	4.541
accidents	4.540
Alabama	4.540
ab	4.517
Augustine	4.505
applicant	4.503
accompany	4.488
ambitious	4.474
allocated	4.462
atmospheric	4.458
adjustments	4.452
alternate	4.440
assignments	4.395
approximate	4.372
arrows	4.341
ambiguous	4.304
amid	4.281
amendments	4.271
App	4.255
antibodies	4.254
advancement	4.252
Annie	4.248
antibody	4.242
AP	4.201
aboard	4.192
Amy	4.191
admired	4.189
Alaska	4.180
authentication	4.146
ar	4.144
Argentina	4.139
attach	4.136
athletes	4.109
album	4.108
acquaintance	4.058
analogous	4.052
Africans	4.031
aspirations	4.020
adopting	4.016
abnormalities	3.990
acquiring	3.972
analysts	3.953
ai	3.952
ash	3.949
ambiguity	3.948
autobiography	3.933
A.D.	3.928
appetite	3.903
aluminum	3.903
advancing	3.901
affinity	3.886
avoidance	3.876
acceleration	3.874
adventures	3.865
absurd	3.848
Andy	3.838
ashamed	3.833
ample	3.832
applicants	3.818
antiquity	3.815
appraisal	3.815
acquainted	3.803
affirmative	3.784
advise	3.763
articulated	3.753
appearances	3.737
accelerated	3.736
archive	3.734
